,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,42479902,2017-02-27 07:21:10,156271,0,234,8,42482819.0,"[(42482819.0, '2017-02-27 10:04:35'), (48650355.0, '2018-02-06 19:15:51'), (54687473.0, '2019-02-14 09:49:56'), (55155611.0, '2019-03-14 05:37:30'), (55880999.0, '2019-04-27 13:22:18'), (58897267.0, '2019-11-17 03:34:35'), (59961625.0, '2020-01-29 06:35:10'), (62305146.0, '2020-06-10 13:44:11')]",2017-02-27 10:04:35,2017-02-27 10:04:35,2.723611111111111,2.723611111111111
1,42480111,2017-02-27 07:35:42,97258,2,148,12,42616812.0,"[(42612738.0, '2017-03-05 19:09:50'), (42616812.0, '2017-03-06 02:55:06'), (45528544.0, '2017-08-06 04:33:59'), (48659275.0, '2018-02-07 08:39:26'), (49989438.0, '2018-04-23 20:26:58'), (54581226.0, '2019-02-07 19:50:57'), (56762410.0, '2019-06-25 21:43:16'), (59164576.0, '2019-12-03 20:07:48'), (59360340.0, '2019-12-16 16:12:47'), (59696639.0, '2020-01-11 17:03:03'), (63372506.0, '2020-08-12 08:15:31'), (64356245.0, '2020-10-14 15:06:38')]",2017-03-05 19:09:50,2017-03-06 02:55:06,155.5688888888889,163.32333333333332
2,42711144,2017-03-10 05:47:28,18672,0,16,7,42735403.0,"[(42735403.0, '2017-03-11 12:48:46'), (47667283.0, '2017-12-06 05:18:11'), (48843779.0, '2018-02-17 17:07:34'), (55081539.0, '2019-03-09 20:14:50'), (61544999.0, '2020-05-01 15:01:10'), (62297965.0, '2020-06-10 07:24:15'), (62300335.0, '2020-06-10 09:35:04')]",2017-03-11 12:48:46,2017-03-11 12:48:46,31.02166666666667,31.02166666666667
3,42795226,2017-03-14 19:47:08,2135,0,1,1,,"[(44475009.0, '2017-06-10 15:26:38')]",2017-06-10 15:26:38,,2107.6583333333333,
4,43328632,2017-04-10 16:38:52,111634,0,44,10,43451081.0,"[(43344607.0, '2017-04-11 11:27:11'), (43451081.0, '2017-04-17 12:01:28'), (46627181.0, '2017-10-08 03:13:51'), (47561301.0, '2017-11-29 20:30:25'), (47667447.0, '2017-12-06 05:32:27'), (53490192.0, '2018-11-26 22:39:13'), (54242870.0, '2019-01-17 19:20:17'), (59603631.0, '2020-01-05 19:48:49'), (60492939.0, '2020-03-02 16:27:15'), (64006971.0, '2020-09-22 09:34:59')]",2017-04-11 11:27:11,2017-04-17 12:01:28,18.80527777777778,163.37666666666667
5,43441673,2017-04-16 20:13:16,9006,0,4,3,,"[(43477547.0, '2017-04-18 16:28:13'), (45754714.0, '2017-08-18 10:41:15'), (45848698.0, '2017-08-23 20:23:16')]",2017-04-18 16:28:13,,44.24916666666667,
6,43664444,2017-04-27 17:33:57,75416,0,19,6,,"[(43664575.0, '2017-04-27 17:41:19'), (47744661.0, '2017-12-10 23:40:41'), (49521603.0, '2018-03-27 20:08:35'), (54476822.0, '2019-02-01 09:46:26'), (55214411.0, '2019-03-18 03:33:23'), (61599289.0, '2020-05-04 18:38:02')]",2017-04-27 17:41:19,,0.12277777777777778,
7,43699517,2017-04-29 19:11:19,886,0,1,1,,"[(43883143.0, '2017-05-10 03:30:16')]",2017-05-10 03:30:16,,248.31583333333333,
8,43766386,2017-05-03 17:21:19,868,1,1,1,,"[(49008766.0, '2018-02-27 12:30:03')]",2018-02-27 12:30:03,,7195.145555555556,
9,43779500,2017-05-04 09:50:44,11499,1,3,2,43779600.0,"[(43779546.0, '2017-05-04 09:52:56'), (43779600.0, '2017-05-04 09:55:24')]",2017-05-04 09:52:56,2017-05-04 09:55:24,0.03666666666666667,0.07777777777777778
